Number of features,Features,CV accuracy,CV F1,CV F1 std,Combined score
2,"X1, X6",0.598,0.7166150321478463,0.08579132396958584,0.6573075160739231
3,"X1, X3, X6",0.5880000000000001,0.7017972981576986,0.09913911050058834,0.6448986490788493
3,"X1, X2, X6",0.5780000000000001,0.7057046948108127,0.06042545081865386,0.6418523474054063
1,X4,0.562,0.7094828327771597,0.024583477307270007,0.63574141638858
4,"X1, X2, X3, X6",0.5680000000000001,0.6939810367690233,0.07811149716720557,0.6309905183845117
3,"X1, X4, X6",0.576,0.6844177414807002,0.09472701524402947,0.6302088707403501
4,"X1, X3, X4, X6",0.574,0.6809453981190113,0.10409065491969675,0.6274726990595056
4,"X1, X2, X4, X6",0.5619999999999999,0.6840961504280747,0.07100124679132204,0.6230480752140373
5,"X1, X2, X3, X4, X6",0.564,0.6807636731085007,0.0842742870093239,0.6223818365542504
2,"X2, X5",0.548,0.6904943176133387,0.0494746434512916,0.6192471588066694
2,"X3, X4",0.54,0.6853858821111324,0.042806353120889026,0.6126929410555662
3,"X1, X5, X6",0.5519999999999999,0.6719666775115052,0.07679573001006727,0.6119833387557525
1,X3,0.536,0.6871683787394578,0.03766427460686136,0.6115841893697289
2,"X2, X4",0.536,0.6864377562370888,0.035336593163892725,0.6112188781185444
2,"X1, X3",0.552,0.663399278289548,0.11008814552722308,0.607699639144774
3,"X2, X3, X5",0.536,0.6777980128057992,0.05488026059475286,0.6068990064028996
2,"X5, X6",0.536,0.6748748857207144,0.051154014847764086,0.6054374428603573
4,"X1, X2, X5, X6",0.54,0.6702868595006525,0.05453876319640906,0.6051434297503262
5,"X1, X2, X3, X5, X6",0.54,0.6682587941367454,0.06390437162150323,0.6041293970683728
1,X6,0.534,0.6735039852085458,0.04564447983038454,0.6037519926042729
1,X5,0.536,0.6707791963563692,0.05637521447829192,0.6033895981781846
5,"X1, X2, X4, X5, X6",0.54,0.666328564411323,0.052764460721006066,0.6031642822056615
3,"X1, X2, X3",0.536,0.6687564980923448,0.07155716919976313,0.6023782490461724
2,"X1, X2",0.536,0.6673774225063728,0.07624410629776915,0.6016887112531863
4,"X1, X3, X5, X6",0.54,0.65877709400557,0.09067544352550454,0.5993885470027851
3,"X3, X4, X5",0.53,0.6642569015543432,0.053472503996353296,0.5971284507771717
6,"X1, X2, X3, X4, X5, X6",0.534,0.6590912101946585,0.06512039253461521,0.5965456050973292
2,"X4, X6",0.522,0.668802771043483,0.04741523903136612,0.5954013855217415
1,X2,0.518,0.6720379586960233,0.043941410182381936,0.5950189793480116
3,"X1, X3, X4",0.544,0.6454104211474675,0.10776074816486869,0.5947052105737338
4,"X1, X4, X5, X6",0.5379999999999999,0.6500507824231962,0.08273394464488983,0.594025391211598
3,"X2, X5, X6",0.522,0.6660496826619184,0.054685831132926806,0.5940248413309592
2,"X4, X5",0.53,0.6573449399527265,0.047477693153405054,0.5936724699763632
2,"X3, X5",0.524,0.6609027808511679,0.05946197573035635,0.5924513904255839
5,"X1, X3, X4, X5, X6",0.534,0.6492440907751252,0.08826079082805782,0.5916220453875627
